"   ","ENTHICK","ENWIDTH","ENLENGTH","GRADE","PRODTIME","PRODUCTID","REDUCTRATE","TLELONG","TLMESH1","TLMESH2","TLMESH3","TLSPEED","TLTENSION","PLSPEED","AT1TEMP","AT1HCLCONC","AT1FECLCONC","AT2TEMP","AT2HCLCONC","AT2FECLCONC","AT3TEMP","AT3HCLCONC","AT3FECLCONC","RT4PH","RT4TEMP","RT1PH","EXWIDTH","EXTHICK","F1FORCE","F1ENTENS","F1EXTENS","F1SPEED","F1REDRATE","F1EMULPRESS","F1BLOWPRESS","F2FORCE","F2ENTENS","F2EXTENS","F2SPEED","F2REDRATE","F2EMULPRESS","F2BLOWPRESS","F3FORCE","F3ENTENS","F3EXTENS","F3SPEED","F3REDRATE","F3EMULPRESS","F3BLOWPRESS","F4FORCE","F4ENTENS","F4EXTENS","F4SPEED","F4REDRATE","F4EMULPRESS","F4BLOWPRESS","F5FORCE","F5ENTENS","F5EXTENS","F5SPEED","F5REDRATE","F5EMULPRESS","F5BLOWPRESS","CRMCOILTEMP","INSDATE","HCOILID","EXLENGTH","BISGGRADE","AIMEDWIDTH","AIMEDTHICKNESS","MAXAIMEDWIDTH","MINAIMEDWIDTH","MAXAIMEDTHICKNESS","MINAIMEDTHICKNESS","F2DSFORCES","F1FSLIP","F2FSLIP","F3FSLIP","F4FSLIP","F5FSLIP","F1EXTHICK","F2EXTHICK","F3EXTHICK","F4EXTHICK","F5EXTHICK","F1DSFORCES","F1OSFORCES","F2OSFORCES","F3DSFORCES","F3OSFORCES","F4DSFORCES","F4OSFORCES","F5DSFORCES","F5OSFORCES","F1DSGAP","F1OSGAP","F2DSGAP","F2OSGAP","F3DSGAP","F3OSGAP","F4DSGAP","F4OSGAP","F5DSGAP","F5OSGAP","F1GLEVEL","F2GLEVEL","F3GLEVEL","F4GLEVEL","F5GLEVEL","F1WRBEND","F2WRBEND","F3WRBEND","F4WRBEND","F1IMRBEND","F2IMRBEND","F3IMRBEND","F4IMRBEND","F5IMRBEND","STRIMOSGAP","STRIMDSGAP","STRIMOSLAP","STRIMDSLAP","F5WRBEND","F5RTYPE","F1ENTHICK","F6TENDIFF","F1TENDIFF","F2TENDIFF","F3TENDIFF","F4TENDIFF","F5TENDIFF"
"1","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1416.000","287.000","868.000","91.000","16.610","0.000","0.000","1419.000","868.000","762.000","112.000","18.710","0.000","0.000","1332.000","762.000","705.000","133.000","15.850","0.000","0.000","1128.000","705.000","745.000","156.000","14.490","0.000","0.000","787.000","745.000","178.000","158.000","1.630","0.000","0.000","","2024/3/26 10:03:59","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","708.500","1720.000","-10.000","-900.000","-1410.000","0.000","4194.000","3408.000","2853.000","2447.000","2432.000","715.000","701.000","710.500","661.000","671.000","579.000","549.000","388.500","398.500","1122.500","939.500","754.500","258.500","367.000","395.000","179.500","333.500","713.000","540.000","-0.183","-0.496","0.028","0.154","-0.173","248.000","259.000","248.000","238.000","250.000","260.000","250.000","240.000","90.000","75.000","75.000","-21.000","-21.000","118.000","D ","5044.000","-5","4","7","5","6","1"
"2","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1413.000","286.000","864.000","92.000","16.610","0.000","0.000","1406.000","864.000","763.000","112.000","18.710","0.000","0.000","1324.000","763.000","678.000","135.000","15.850","0.000","0.000","1157.000","678.000","704.000","156.000","14.490","0.000","0.000","796.000","704.000","179.000","158.000","1.630","0.000","0.000","","2024/3/26 10:03:59","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","703.000","1740.000","-280.000","-920.000","-1230.000","0.000","4207.000","3456.000","2783.000","2480.000","2408.000","713.500","699.500","703.000","661.500","662.500","589.000","568.000","393.500","402.500","1126.000","943.000","753.000","258.000","369.000","398.000","187.500","342.500","697.500","565.500","-0.183","-0.495","0.029","0.155","-0.132","248.000","259.000","248.000","238.000","249.000","259.000","250.000","240.000","83.000","75.000","75.000","-21.000","-21.000","109.000","D ","5049.000","-4","5","1","3","1","4"
"3","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1426.000","281.000","862.000","91.000","16.610","0.000","0.000","1410.000","862.000","758.000","113.000","18.710","0.000","0.000","1339.000","758.000","676.000","135.000","15.850","0.000","0.000","1145.000","676.000","702.000","156.000","14.490","0.000","0.000","800.000","702.000","182.000","158.000","1.630","0.000","0.000","","2024/3/26 10:04:00","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","707.000","1550.000","-20.000","-940.000","-1270.000","0.000","4210.000","3390.000","2811.000","2485.000","2433.000","720.000","706.000","703.000","669.500","669.500","585.000","560.000","395.000","405.000","1116.000","932.000","752.000","257.000","365.500","394.500","188.500","341.500","698.500","572.500","-0.184","-0.495","0.029","0.153","-0.126","248.000","260.000","248.000","238.000","250.000","260.000","250.000","240.000","78.000","75.000","75.000","-21.000","-21.000","104.000","D ","5050.000","-1","5","3","4","4","2"
"4","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1419.000","284.000","863.000","91.000","16.610","0.000","0.000","1417.000","863.000","758.000","112.000","18.710","0.000","0.000","1331.000","758.000","686.000","134.000","15.850","0.000","0.000","1165.000","686.000","712.000","156.000","14.490","0.000","0.000","799.000","712.000","164.000","158.000","1.630","0.000","0.000","","2024/3/26 10:04:00","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","709.000","1890.000","-130.000","-770.000","-1410.000","0.000","4211.000","3421.000","2862.000","2493.000","2458.000","715.500","703.500","708.000","661.000","670.000","602.500","562.500","395.500","403.500","1120.000","938.000","751.500","256.500","364.000","393.000","183.500","336.500","689.000","581.000","-0.182","-0.495","0.029","0.153","-0.108","249.000","259.000","249.000","238.000","250.000","260.000","250.000","239.000","76.000","75.000","75.000","-21.000","-21.000","98.000","D ","5057.000","0","4","-1","3","5","3"
"5","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1430.000","280.000","849.000","99.000","16.610","0.000","0.000","1417.000","849.000","758.000","122.000","18.710","0.000","0.000","1333.000","758.000","687.000","146.000","15.850","0.000","0.000","1154.000","687.000","717.000","170.000","14.490","0.000","0.000","804.000","717.000","156.000","174.000","1.630","0.000","0.000","","2024/3/26 10:04:00","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","710.000","1480.000","-770.000","-1460.000","-2260.000","0.000","4215.000","3420.000","2854.000","2482.000","2451.000","722.500","707.500","707.000","665.000","668.000","586.500","567.500","399.000","405.000","1106.500","925.500","749.000","254.000","363.000","391.000","177.500","331.500","690.500","580.500","-0.181","-0.495","0.028","0.154","-0.110","249.000","253.000","249.000","238.000","250.000","259.000","250.000","240.000","77.000","75.000","75.000","-21.000","-21.000","99.000","D ","5034.000","1","3","4","1","3","3"
"6","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1433.000","281.000","852.000","109.000","16.610","0.000","0.000","1429.000","852.000","753.000","134.000","18.710","0.000","0.000","1347.000","753.000","701.000","161.000","15.850","0.000","0.000","1154.000","701.000","745.000","188.000","14.490","0.000","0.000","791.000","745.000","155.000","192.000","1.630","0.000","0.000","","2024/3/26 10:04:00","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","710.500","1260.000","-510.000","-960.000","-2120.000","0.000","4206.000","3421.000","2852.000","2465.000","2442.000","724.000","709.000","718.500","671.000","676.000","584.500","569.500","392.500","398.500","1103.500","921.500","743.000","249.000","359.000","388.000","169.000","323.000","694.000","577.000","-0.182","-0.494","0.029","0.154","-0.117","250.000","253.000","248.000","238.000","250.000","260.000","249.000","240.000","77.000","75.000","75.000","-21.000","-21.000","100.000","D ","5041.000","4","1","5","4","4","4"
"7","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1428.000","281.000","841.000","111.000","16.610","0.000","0.000","1455.000","841.000","750.000","137.000","18.710","0.000","0.000","1347.000","750.000","669.000","164.000","15.850","0.000","0.000","1155.000","669.000","702.000","190.000","14.490","0.000","0.000","791.000","702.000","158.000","193.000","1.630","0.000","0.000","","2024/3/26 10:04:00","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","733.000","1410.000","-780.000","-890.000","-1260.000","0.000","4209.000","3410.000","2815.000","2465.000","2430.000","721.500","706.500","722.000","670.500","676.500","588.000","567.000","392.500","398.500","1108.000","926.000","738.500","242.500","348.500","378.500","183.500","337.500","695.000","563.000","-0.182","-0.496","0.030","0.154","-0.132","250.000","253.000","249.000","238.000","249.000","259.000","250.000","240.000","77.000","75.000","75.000","-21.000","-21.000","103.000","D ","5038.000","2","0","6","9","3","2"
"8","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1430.000","284.000","850.000","111.000","16.610","0.000","0.000","1433.000","850.000","750.000","137.000","18.710","0.000","0.000","1334.000","750.000","667.000","164.000","15.850","0.000","0.000","1136.000","667.000","698.000","190.000","14.490","0.000","0.000","798.000","698.000","160.000","193.000","1.630","0.000","0.000","","2024/3/26 10:04:01","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","717.500","1420.000","-910.000","-970.000","-1170.000","0.000","4207.000","3409.000","2814.000","2487.000","2429.000","721.000","709.000","715.500","663.000","671.000","575.500","560.500","394.500","403.500","1107.500","924.500","733.500","238.500","347.500","375.500","187.000","341.000","704.000","566.000","-0.183","-0.495","0.028","0.154","-0.138","249.000","253.000","249.000","238.000","250.000","260.000","249.000","240.000","77.000","75.000","75.000","-21.000","-21.000","104.000","D ","5076.000","0","3","2","7","3","3"
"9","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1443.000","282.000","838.000","125.000","16.610","0.000","0.000","1453.000","838.000","747.000","154.000","18.710","0.000","0.000","1337.000","747.000","680.000","185.000","15.850","0.000","0.000","1159.000","680.000","722.000","215.000","14.490","0.000","0.000","807.000","722.000","170.000","220.000","1.630","0.000","0.000","","2024/3/26 10:04:01","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","726.500","860.000","-1650.000","-1360.000","-2150.000","0.000","4210.000","3417.000","2853.000","2482.000","2455.000","727.500","715.500","726.500","661.500","675.500","587.500","571.500","399.000","408.000","1090.500","909.500","727.500","232.500","343.000","372.000","173.500","327.500","704.000","566.000","-0.181","-0.495","0.029","0.154","-0.138","249.000","253.000","248.000","238.000","250.000","260.000","250.000","239.000","78.000","75.000","75.000","-21.000","-21.000","107.000","D ","5056.000","-2","0","0","3","6","3"
"10","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1492.000","272.000","733.000","206.000","16.610","0.000","0.000","1457.000","733.000","658.000","253.000","18.710","0.000","0.000","1325.000","658.000","590.000","303.000","15.850","0.000","0.000","1154.000","590.000","649.000","351.000","14.490","0.000","0.000","804.000","649.000","160.000","357.000","1.630","0.000","0.000","","2024/3/26 10:04:38","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","728.500","740.000","-1770.000","-2290.000","-1120.000","0.000","4214.000","3431.000","2828.000","2473.000","2441.000","752.000","740.000","728.500","658.500","666.500","585.500","568.500","398.500","405.500","1041.500","860.500","719.500","209.500","371.500","375.500","177.500","330.500","679.000","587.000","-0.181","-0.510","0.004","0.153","-0.092","250.000","262.000","248.000","238.000","249.000","259.000","249.000","240.000","88.000","75.000","75.000","-21.000","-21.000","143.000","D ","5059.000","1","2","-4","-1","-2","2"
